age,basketball_reference_id,basketball_reference_url,birth_date,college,created_at,experience,height,id,is_active,jersey_number,name,position,profile_url,scraped_at,season_year,team,team_abbreviation,team_id,updated_at,weight
,whiteco01,https://www.basketball-reference.com/players/w/whiteco01.html,2000-02-16,us US,2025-11-04T12:42:09.971652+00:00,5,6-5,a8c6de22-1b1d-437a-b8eb-a525c645c388,True,0,Coby White,SG,https://www.basketball-reference.com/players/w/whiteco01.html,2025-11-04T13:42:07.40445+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:09.790782+00:00,195
,balllo01,https://www.basketball-reference.com/players/b/balllo01.html,1997-10-27,us US,2025-11-04T12:42:08.396277+00:00,5,6-6,1475b7a9-4aa4-4964-a886-2ce02c76dc15,True,2,Lonzo Ball,PG,https://www.basketball-reference.com/players/b/balllo01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:06.922095+00:00,190
,giddejo01,https://www.basketball-reference.com/players/g/giddejo01.html,2002-10-10,au AU,2025-11-04T12:42:09.035896+00:00,3,6-8,8e40aa5a-30cd-447c-81a6-e668c21318e2,True,3,Josh Giddey,PG,https://www.basketball-reference.com/players/g/giddejo01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:08.003827+00:00,210
,carteje01,https://www.basketball-reference.com/players/c/carteje01.html,1995-09-14,us US,2025-11-04T12:42:08.672162+00:00,6,6-1,3a9098dc-b9b9-42b5-b9b3-fe6ccbc5eff5,True,5,Jevon Carter,PG,https://www.basketball-reference.com/players/c/carteje01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:07.236083+00:00,200
,smithja04,https://www.basketball-reference.com/players/s/smithja04.html,2000-03-16,us US,2025-11-04T12:42:09.756055+00:00,4,6-10,3d7afbc1-25d5-465d-8227-9cd9789991a4,True,7,Jalen Smith,C,https://www.basketball-reference.com/players/s/smithja04.html,2025-11-04T13:42:07.40445+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:09.348475+00:00,215
,lavinza01,https://www.basketball-reference.com/players/l/lavinza01.html,1995-03-10,us US,2025-11-04T12:42:09.349824+00:00,10,6-5,fe990bfe-4978-478e-8018-883f3e3ca134,True,8,Zach LaVine,SF,https://www.basketball-reference.com/players/l/lavinza01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:08.590543+00:00,200
,vucevni01,https://www.basketball-reference.com/players/v/vucevni01.html,1990-10-24,ch CH,2025-11-04T12:42:09.892123+00:00,13,6-10,7dfc49cb-fdf8-4e36-91b8-b18f422be514,True,9,Nikola Vučević,C,https://www.basketball-reference.com/players/v/vucevni01.html,2025-11-04T13:42:07.40445+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:09.64357+00:00,260
,dosunay01,https://www.basketball-reference.com/players/d/dosunay01.html,2000-01-17,us US,2025-11-04T12:42:08.893512+00:00,3,6-5,44219394-2f45-4c7b-b562-0cb6202e5422,True,11,Ayo Dosunmu,SG,https://www.basketball-reference.com/players/d/dosunay01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:07.708595+00:00,200
,colliza01,https://www.basketball-reference.com/players/c/colliza01.html,1997-11-19,us US,2025-11-04T12:42:08.747421+00:00,6,6-11,1101ea50-7923-4819-88dd-68a7b3dd24f2,True,12,Zach Collins,PF,https://www.basketball-reference.com/players/c/colliza01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:07.385918+00:00,250
,huertke01,https://www.basketball-reference.com/players/h/huertke01.html,1998-08-27,us US,2025-11-04T12:42:09.192478+00:00,6,6-7,19091150-117e-4d5d-869a-e39cf3f2316b,True,13,Kevin Huerter,SG,https://www.basketball-reference.com/players/h/huertke01.html,2025-11-04T13:42:07.403449+00:00,2024-25,CHI,CHI,77a5d93d-203d-4676-bc2c-61cef87ef529,2025-11-04T13:17:08.294639+00:00,190
